Year,CO2,CH4,N2O,CO,Unit
322,5.54E-16,1.54E-15,2.50E-14,8.71E-16,W.m-2.kg-1
323,5.54E-16,1.54E-15,2.48E-14,8.70E-16,W.m-2.kg-1
324,5.53E-16,1.54E-15,2.46E-14,8.70E-16,W.m-2.kg-1
325,5.53E-16,1.54E-15,2.44E-14,8.69E-16,W.m-2.kg-1
326,5.53E-16,1.53E-15,2.42E-14,8.68E-16,W.m-2.kg-1
327,5.52E-16,1.53E-15,2.40E-14,8.68E-16,W.m-2.kg-1
328,5.52E-16,1.53E-15,2.38E-14,8.67E-16,W.m-2.kg-1
329,5.51E-16,1.53E-15,2.36E-14,8.66E-16,W.m-2.kg-1
330,5.51E-16,1.53E-15,2.34E-14,8.66E-16,W.m-2.kg-1
331,5.50E-16,1.53E-15,2.32E-14,8.65E-16,W.m-2.kg-1
332,5.50E-16,1.53E-15,2.31E-14,8.64E-16,W.m-2.kg-1
333,5.50E-16,1.53E-15,2.29E-14,8.64E-16,W.m-2.kg-1
334,5.49E-16,1.52E-15,2.27E-14,8.63E-16,W.m-2.kg-1
335,5.49E-16,1.52E-15,2.25E-14,8.62E-16,W.m-2.kg-1
336,5.48E-16,1.52E-15,2.23E-14,8.62E-16,W.m-2.kg-1
337,5.48E-16,1.52E-15,2.21E-14,8.61E-16,W.m-2.kg-1
338,5.47E-16,1.52E-15,2.19E-14,8.60E-16,W.m-2.kg-1
